EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	REAGENT_ACCESSION
ES103514	EXP3727	ESR4289
ES103512	EXP3727	ESR4242
ES103509	EXP3727	ESR4232
ES103524	EXP3727	ESR4315
ES103523	EXP3727	ESR4269
ES103535	EXP3727	ESR4335
ES103534	EXP3727	ESR4300
ES103531	EXP3727	ESR4278
ES103530	EXP3727	ESR4269
ES103528	EXP3727	ESR4269
ES103527	EXP3727	ESR4232
ES103544	EXP3727	ESR4335
ES103543	EXP3727	ESR4222
ES103543	EXP3727	ESR4325
ES103541	EXP3727	ESR4269
ES103541	EXP3727	ESR4289
ES103539	EXP3727	ESR4427
ES103537	EXP3727	ESR4236
ES103553	EXP3727	ESR4337
ES103552	EXP3727	ESR4325
ES103549	EXP3727	ESR4278
ES103548	EXP3727	ESR4256
ES103546	EXP3727	ESR4386
ES103562	EXP3727	ESR4335
ES103561	EXP3727	ESR4269
ES103561	EXP3727	ESR4454
ES103560	EXP3727	ESR4278
ES103560	EXP3727	ESR4315
ES103560	EXP3727	ESR4431
ES103559	EXP3727	ESR4269
ES103559	EXP3727	ESR4429
ES103556	EXP3727	ESR4220
ES103554	EXP3727	ESR4232
ES103554	EXP3727	ESR4497
ES103571	EXP3727	ESR4334
ES103570	EXP3727	ESR4325
ES103569	EXP3727	ESR4431
ES103567	EXP3727	ESR4269
ES103566	EXP3727	ESR4256
ES103564	EXP3727	ESR4236
ES103563	EXP3727	ESR4225
ES103563	EXP3727	ESR4232
ES103579	EXP3727	ESR4454
ES103577	EXP3727	ESR4289
ES103576	EXP3727	ESR4269
ES103574	EXP3727	ESR4219
ES103574	EXP3727	ESR4220
ES103574	EXP3727	ESR4278
ES103573	EXP3727	ESR4386
ES103572	EXP3727	ESR4225
ES103589	EXP3727	ESR4334
ES103585	EXP3727	ESR4278
ES103584	EXP3727	ESR4278
ES103581	EXP3727	ESR4232
ES103598	EXP3727	ESR4335
ES103597	EXP3727	ESR4222
ES103597	EXP3727	ESR4325
ES103596	EXP3727	ESR4278
ES103596	EXP3727	ESR4431
ES103593	EXP3727	ESR4427
ES103591	EXP3727	ESR4269
ES103590	EXP3727	ESR4265
ES103603	EXP3727	ESR4269
ES103602	EXP3727	ESR4242
ES103602	EXP3727	ESR4269
ES103602	EXP3727	ESR4278
ES103615	EXP3727	ESR4300
ES103614	EXP3727	ESR4315
ES103613	EXP3727	ESR4278
ES103612	EXP3727	ESR4278
ES103625	EXP3727	ESR4335
ES103624	EXP3727	ESR4300
ES103617	EXP3727	ESR4341
ES103634	EXP3727	ESR4337
ES103633	EXP3727	ESR4325
ES103632	EXP3727	ESR4278
ES103631	EXP3727	ESR4429
ES103630	EXP3727	ESR4256
ES103630	EXP3727	ESR4269
ES103626	EXP3727	ESR4497
ES103643	EXP3727	ESR4495
ES103642	EXP3727	ESR4300
ES103641	EXP3727	ESR4315
ES103652	EXP3727	ESR4335
ES103651	EXP3727	ESR4325
ES103649	EXP3727	ESR4256
ES103649	EXP3727	ESR4429
ES103647	EXP3727	ESR4256
ES103645	EXP3727	ESR4269
ES103659	EXP3727	ESR4278
ES103658	EXP3727	ESR4269
ES103657	EXP3727	ESR4256
ES103656	EXP3727	ESR4427
ES103654	EXP3727	ESR4236
ES103669	EXP3727	ESR4269
ES103669	EXP3727	ESR4300
ES103668	EXP3727	ESR4222
ES103667	EXP3727	ESR4256
ES103666	EXP3727	ESR4428
ES103663	EXP3727	ESR4253
ES103678	EXP3727	ESR4222
ES103675	EXP3727	ESR4428
ES103674	EXP3727	ESR4269
ES103687	EXP3727	ESR4269
ES103687	EXP3727	ESR4454
ES103686	EXP3727	ESR4278
ES103685	EXP3727	ESR4289
ES103685	EXP3727	ESR4429
ES103683	EXP3727	ESR4278
ES103680	EXP3727	ESR4225
ES103697	EXP3727	ESR4495
ES103696	EXP3727	ESR4300
ES103695	EXP3727	ESR4222
ES103695	EXP3727	ESR4325
ES103694	EXP3727	ESR4278
ES103693	EXP3727	ESR4256
ES103693	EXP3727	ESR4269
ES103692	EXP3727	ESR4427
ES103691	EXP3727	ESR4423
ES103705	EXP3727	ESR4300
ES103704	EXP3727	ESR4325
ES103703	EXP3727	ESR4278
ES103715	EXP3727	ESR4334
ES103710	EXP3727	ESR4427
ES103709	EXP3727	ESR4219
ES103708	EXP3727	ESR4386
ES103722	EXP3727	ESR4325
ES103720	EXP3727	ESR4278
ES103720	EXP3727	ESR4287
ES103716	EXP3727	ESR4497
ES103732	EXP3727	ESR4222
ES103731	EXP3727	ESR4222
ES103730	EXP3727	ESR4289
ES103729	EXP3727	ESR4287
ES103726	EXP3727	ESR4386
ES103725	EXP3727	ESR4265
ES103742	EXP3727	ESR4336
ES103742	EXP3727	ESR4337
ES103742	EXP3727	ESR4495
ES103740	EXP3727	ESR4315
ES103738	EXP3727	ESR4287
ES103736	EXP3727	ESR4278
ES103750	EXP3727	ESR4269
ES103749	EXP3727	ESR4315
ES103749	EXP3727	ESR4431
ES103748	EXP3727	ESR4269
ES103747	EXP3727	ESR4428
ES103745	EXP3727	ESR4423
ES103744	EXP3727	ESR4269
ES103743	EXP3727	ESR4265
ES103758	EXP3727	ESR4269
ES103757	EXP3727	ESR4278
ES103752	EXP3727	ESR4225
ES103752	EXP3727	ESR4497
ES103767	EXP3727	ESR4269
ES103766	EXP3727	ESR4222
ES103777	EXP3727	ESR4336
ES103777	EXP3727	ESR4337
ES103776	EXP3727	ESR4300
ES103775	EXP3727	ESR4325
ES103771	EXP3727	ESR4278
ES103770	EXP3727	ESR4236
ES103770	EXP3727	ESR4253
ES103786	EXP3727	ESR4336
ES103786	EXP3727	ESR4495
ES103783	EXP3727	ESR4429
ES103781	EXP3727	ESR4269
ES103779	EXP3727	ESR4386
ES103778	EXP3727	ESR4341
ES103795	EXP3727	ESR4495
ES103794	EXP3727	ESR4454
ES103793	EXP3727	ESR4431
ES103792	EXP3727	ESR4256
ES103792	EXP3727	ESR4269
ES103790	EXP3727	ESR4278
ES103789	EXP3727	ESR4220
ES103788	EXP3727	ESR4243
ES103787	EXP3727	ESR4341
ES103804	EXP3727	ESR4335
ES103804	EXP3727	ESR4337
ES103801	EXP3727	ESR4278
ES103801	EXP3727	ESR4289
ES103799	EXP3727	ESR4242
ES103797	EXP3727	ESR4386
ES103807	EXP3727	ESR4427
ES103821	EXP3727	ESR4337
ES103819	EXP3727	ESR4315
ES103817	EXP3727	ESR4256
ES103814	EXP3727	ESR4253
ES103814	EXP3727	ESR4386
ES103829	EXP3727	ESR4300
ES103828	EXP3727	ESR4278
ES103828	EXP3727	ESR4325
ES103824	EXP3727	ESR4423
ES103823	EXP3727	ESR4386
ES103838	EXP3727	ESR4334
ES103838	EXP3727	ESR4336
ES103838	EXP3727	ESR4495
ES103837	EXP3727	ESR4222
ES103836	EXP3727	ESR4222
ES103834	EXP3727	ESR4256
ES103834	EXP3727	ESR4287
ES103834	EXP3727	ESR4428
ES103833	EXP3727	ESR4242
ES103833	EXP3727	ESR4256
ES103833	EXP3727	ESR4269
ES103845	EXP3727	ESR4278
ES103845	EXP3727	ESR4431
ES103844	EXP3727	ESR4256
ES103843	EXP3727	ESR4256
ES103841	EXP3727	ESR4315
ES103839	EXP3727	ESR4265
ES103855	EXP3727	ESR4222
ES103855	EXP3727	ESR4325
ES103852	EXP3727	ESR4428
ES103851	EXP3727	ESR4278
ES103850	EXP3727	ESR4219
ES103850	EXP3727	ESR4423
ES103849	EXP3727	ESR4386
ES103848	EXP3727	ESR4497
ES103865	EXP3727	ESR4336
ES103864	EXP3727	ESR4325
ES103863	EXP3727	ESR4315
ES103858	EXP3727	ESR4243
ES103858	EXP3727	ESR4386
ES103874	EXP3727	ESR4334
ES103872	EXP3727	ESR4431
ES103871	EXP3727	ESR4256
ES103871	EXP3727	ESR4269
ES103868	EXP3727	ESR4219
ES103868	EXP3727	ESR4423
ES103866	EXP3727	ESR4265
ES103866	EXP3727	ESR4341
ES103883	EXP3727	ESR4495
ES103880	EXP3727	ESR4429
ES103879	EXP3727	ESR4269
ES103876	EXP3727	ESR4253
ES103876	EXP3727	ESR4269
ES103875	EXP3727	ESR4497
ES103892	EXP3727	ESR4336
ES103892	EXP3727	ESR4495
ES103889	EXP3727	ESR4269
ES103885	EXP3727	ESR4253
ES103900	EXP3727	ESR4222
ES103898	EXP3727	ESR4256
ES103910	EXP3727	ESR4334
ES103907	EXP3727	ESR4256
ES103903	EXP3727	ESR4236
ES103918	EXP3727	ESR4300
ES103917	EXP3727	ESR4278
ES103914	EXP3727	ESR4269
ES103927	EXP3727	ESR4269
ES103926	EXP3727	ESR4431
ES103925	EXP3727	ESR4429
ES103924	EXP3727	ESR4256
ES103923	EXP3727	ESR4256
ES103923	EXP3727	ESR4427
ES103920	EXP3727	ESR4497
ES103936	EXP3727	ESR4454
ES103932	EXP3727	ESR4269
ES103946	EXP3727	ESR4334
ES103945	EXP3727	ESR4222
ES103941	EXP3727	ESR4269
ES103938	EXP3727	ESR4497
ES103953	EXP3727	ESR4222
ES103953	EXP3727	ESR4278
ES103952	EXP3727	ESR4429
ES103950	EXP3727	ESR4256
ES103950	EXP3727	ESR4278
ES103949	EXP3727	ESR4219
ES103964	EXP3727	ESR4336
ES103963	EXP3727	ESR4222
ES103957	EXP3727	ESR4236
ES103957	EXP3727	ESR4269
ES103956	EXP3727	ESR4225
ES103956	EXP3727	ESR4265
ES103968	EXP3727	ESR4242
ES103968	EXP3727	ESR4269
ES103968	EXP3727	ESR4278
ES103967	EXP3727	ESR4219
ES103966	EXP3727	ESR4243
ES103966	EXP3727	ESR4386
ES103981	EXP3727	ESR4335
ES103980	EXP3727	ESR4325
ES103978	EXP3727	ESR4278
ES103977	EXP3727	ESR4278
ES103975	EXP3727	ESR4219
ES103974	EXP3727	ESR4236
ES103973	EXP3727	ESR4225
ES103987	EXP3727	ESR4269
ES103984	EXP3727	ESR4423
ES103982	EXP3727	ESR4341
ES103999	EXP3727	ESR4334
ES103995	EXP3727	ESR4287
ES103992	EXP3727	ESR4253
ES103992	EXP3727	ESR4269
ES104004	EXP3727	ESR4256
ES104004	EXP3727	ESR4278
ES104015	EXP3727	ESR4315
ES104015	EXP3727	ESR4431
ES104010	EXP3727	ESR4269
ES104009	EXP3727	ESR4225
ES104026	EXP3727	ESR4495
ES104025	EXP3727	ESR4222
ES104023	EXP3727	ESR4315
ES104023	EXP3727	ESR4325
ES104022	EXP3727	ESR4278
ES104018	EXP3727	ESR4236
ES104018	EXP3727	ESR4386
ES104031	EXP3727	ESR4428
ES104030	EXP3727	ESR4256
ES104029	EXP3727	ESR4315
ES104028	EXP3727	ESR4236
ES104028	EXP3727	ESR4269
ES104027	EXP3727	ESR4497
ES104043	EXP3727	ESR4325
ES104042	EXP3727	ESR4315
ES104042	EXP3727	ESR4325
ES104041	EXP3727	ESR4278
ES104039	EXP3727	ESR4427
ES104037	EXP3727	ESR4236
ES104036	EXP3727	ESR4341
ES104053	EXP3727	ESR4495
ES104046	EXP3727	ESR4236
ES104046	EXP3727	ESR4253
ES104045	EXP3727	ESR4225
ES104062	EXP3727	ESR4335
ES104062	EXP3727	ESR4495
ES104060	EXP3727	ESR4278
ES104059	EXP3727	ESR4278
ES104054	EXP3727	ESR4232
ES104054	EXP3727	ESR4497
ES104071	EXP3727	ESR4335
ES104070	EXP3727	ESR4325
ES104067	EXP3727	ESR4428
ES104063	EXP3727	ESR4265
ES104079	EXP3727	ESR4222
ES104077	EXP3727	ESR4256
ES104076	EXP3727	ESR4278
ES104074	EXP3727	ESR4278
ES104072	EXP3727	ESR4232
ES104089	EXP3727	ESR4334
ES104089	EXP3727	ESR4495
ES104087	EXP3727	ESR4222
ES104085	EXP3727	ESR4269
ES104085	EXP3727	ESR4428
ES104083	EXP3727	ESR4278
ES104083	EXP3727	ESR4423
ES104082	EXP3727	ESR4236
ES104081	EXP3727	ESR4265
ES104081	EXP3727	ESR4497
ES104098	EXP3727	ESR4336
ES104096	EXP3727	ESR4278
ES104096	EXP3727	ESR4325
ES104095	EXP3727	ESR4269
ES104095	EXP3727	ESR4278
ES104092	EXP3727	ESR4219
ES104107	EXP3727	ESR4335
ES104107	EXP3727	ESR4495
ES104103	EXP3727	ESR4256
ES104103	EXP3727	ESR4428
ES104100	EXP3727	ESR4386
ES104112	EXP3727	ESR4287
ES104111	EXP3727	ESR4269
ES104110	EXP3727	ESR4220
ES104110	EXP3727	ESR4423
ES104108	EXP3727	ESR4341
ES104125	EXP3727	ESR4336
ES104123	EXP3727	ESR4222
ES104122	EXP3727	ESR4269
ES104119	EXP3727	ESR4219
ES104117	EXP3727	ESR4265
ES104133	EXP3727	ESR4269
ES104131	EXP3727	ESR4429
ES104128	EXP3727	ESR4220
ES104127	EXP3727	ESR4253
ES104126	EXP3727	ESR4225
ES104126	EXP3727	ESR4232
ES104143	EXP3727	ESR4337
ES104140	EXP3727	ESR4256
ES104140	EXP3727	ESR4429
ES104139	EXP3727	ESR4256
ES104138	EXP3727	ESR4427
ES104136	EXP3727	ESR4269
ES104152	EXP3727	ESR4334
ES104150	EXP3727	ESR4278
ES104150	EXP3727	ESR4431
ES104148	EXP3727	ESR4269
ES104144	EXP3727	ESR4497
ES104161	EXP3727	ESR4334
ES104157	EXP3727	ESR4287
ES104157	EXP3727	ESR4428
ES104156	EXP3727	ESR4242
ES104154	EXP3727	ESR4253
ES104154	EXP3727	ESR4386
ES104153	EXP3727	ESR4225
ES104170	EXP3727	ESR4336
ES104167	EXP3727	ESR4325
ES104167	EXP3727	ESR4431
ES104163	EXP3727	ESR4219
ES104163	EXP3727	ESR4423
ES104176	EXP3727	ESR4222
ES104176	EXP3727	ESR4431
ES104175	EXP3727	ESR4256
ES104175	EXP3727	ESR4269
ES104174	EXP3727	ESR4256
ES104172	EXP3727	ESR4220
ES104172	EXP3727	ESR4315
ES104188	EXP3727	ESR4336
ES104186	EXP3727	ESR4222
ES104185	EXP3727	ESR4256
ES104180	EXP3727	ESR4341
ES104197	EXP3727	ESR4495
ES104196	EXP3727	ESR4454
ES104195	EXP3727	ESR4325
ES104193	EXP3727	ESR4269
ES104206	EXP3727	ESR4336
ES104205	EXP3727	ESR4325
ES104203	EXP3727	ESR4222
ES104202	EXP3727	ESR4256
ES104214	EXP3727	ESR4335
ES104210	EXP3727	ESR4278
ES104221	EXP3727	ESR4232
ES104220	EXP3727	ESR4222
ES104220	EXP3727	ESR4431
ES104217	EXP3727	ESR4269
ES104230	EXP3727	ESR4300
ES104229	EXP3727	ESR4222
ES104228	EXP3727	ESR4269
ES104228	EXP3727	ESR4289
ES104225	EXP3727	ESR4278
ES104224	EXP3727	ESR4243
ES104240	EXP3727	ESR4269
ES104240	EXP3727	ESR4300
ES104240	EXP3727	ESR4454
ES104239	EXP3727	ESR4325
ES104236	EXP3727	ESR4242
ES104234	EXP3727	ESR4236
ES104249	EXP3727	ESR4222
ES104249	EXP3727	ESR4325
ES104248	EXP3727	ESR4278
ES104247	EXP3727	ESR4289
ES104246	EXP3727	ESR4428
ES104245	EXP3727	ESR4242
ES104259	EXP3727	ESR4334
ES104259	EXP3727	ESR4335
ES104258	EXP3727	ESR4300
ES104257	EXP3727	ESR4315
ES104255	EXP3727	ESR4278
ES104253	EXP3727	ESR4220
ES104253	EXP3727	ESR4423
ES104252	EXP3727	ESR4386
ES104251	EXP3727	ESR4225
ES104264	EXP3727	ESR4269
ES104264	EXP3727	ESR4428
ES104263	EXP3727	ESR4427
ES104277	EXP3727	ESR4337
ES104274	EXP3727	ESR4278
ES104274	EXP3727	ESR4431
ES104273	EXP3727	ESR4429
ES104272	EXP3727	ESR4256
ES104271	EXP3727	ESR4242
ES104271	EXP3727	ESR4269
ES104271	EXP3727	ESR4278
ES104286	EXP3727	ESR4335
ES104284	EXP3727	ESR4431
ES104283	EXP3727	ESR4278
ES104279	EXP3727	ESR4269
ES104278	EXP3727	ESR4497
ES104293	EXP3727	ESR4315
ES104292	EXP3727	ESR4269
ES104292	EXP3727	ESR4289
ES104291	EXP3727	ESR4256
ES104290	EXP3727	ESR4242
ES104290	EXP3727	ESR4427
ES104289	EXP3727	ESR4219
ES104289	EXP3727	ESR4315
ES104288	EXP3727	ESR4269
ES104288	EXP3727	ESR4386
ES104287	EXP3727	ESR4265
ES104303	EXP3727	ESR4337
ES104302	EXP3727	ESR4325
ES104299	EXP3727	ESR4269
ES104298	EXP3727	ESR4220
ES104296	EXP3727	ESR4225
ES104296	EXP3727	ESR4232
ES104296	EXP3727	ESR4265
ES104312	EXP3727	ESR4334
ES104309	EXP3727	ESR4256
ES104309	EXP3727	ESR4289
ES104309	EXP3727	ESR4429
ES104308	EXP3727	ESR4278
ES104307	EXP3727	ESR4242
ES104321	EXP3727	ESR4335
ES104320	EXP3727	ESR4325
ES104320	EXP3727	ESR4454
ES104319	EXP3727	ESR4222
ES104318	EXP3727	ESR4256
ES104315	EXP3727	ESR4315
ES104314	EXP3727	ESR4253
ES104328	EXP3727	ESR4315
ES104325	EXP3727	ESR4256
ES104339	EXP3727	ESR4337
ES104338	EXP3727	ESR4222
ES104338	EXP3727	ESR4325
ES104335	EXP3727	ESR4287
ES104348	EXP3727	ESR4334
ES104347	EXP3727	ESR4222
ES104346	EXP3727	ESR4278
ES104341	EXP3727	ESR4236
ES104341	EXP3727	ESR4386
ES104340	EXP3727	ESR4341
ES104357	EXP3727	ESR4334
ES104356	EXP3727	ESR4269
ES104356	EXP3727	ESR4325
ES104353	EXP3727	ESR4287
ES104351	EXP3727	ESR4220
ES104351	EXP3727	ESR4278
ES104350	EXP3727	ESR4236
ES104366	EXP3727	ESR4334
ES104364	EXP3727	ESR4264
ES104364	EXP3727	ESR4300
ES104361	EXP3727	ESR4256
ES104360	EXP3727	ESR4269
ES104358	EXP3727	ESR4269
ES104375	EXP3727	ESR4334
ES104374	EXP3727	ESR4300
ES104374	EXP3727	ESR4454
ES104373	EXP3727	ESR4431
ES104371	EXP3727	ESR4269
ES104370	EXP3727	ESR4256
ES104369	EXP3727	ESR4220
ES104384	EXP3727	ESR4495
ES104382	EXP3727	ESR4315
ES104381	EXP3727	ESR4289
ES104380	EXP3727	ESR4256
ES104380	EXP3727	ESR4278
ES104378	EXP3727	ESR4315
ES104377	EXP3727	ESR4236
ES104377	EXP3727	ESR4243
ES104377	EXP3727	ESR4253
ES104389	EXP3727	ESR4278
ES104385	EXP3727	ESR4341
ES104385	EXP3727	ESR4497
ES104401	EXP3727	ESR4337
ES104399	EXP3727	ESR4222
ES104399	EXP3727	ESR4325
ES104393	EXP3727	ESR4225
ES104410	EXP3727	ESR4334
ES104408	EXP3727	ESR4222
ES104408	EXP3727	ESR4325
ES104408	EXP3727	ESR4431
ES104407	EXP3727	ESR4289
ES104405	EXP3727	ESR4242
ES104404	EXP3727	ESR4219
ES104402	EXP3727	ESR4265
ES104419	EXP3727	ESR4334
ES104419	EXP3727	ESR4336
ES104418	EXP3727	ESR4222
ES104418	EXP3727	ESR4325
ES104417	EXP3727	ESR4325
ES104415	EXP3727	ESR4256
ES104412	EXP3727	ESR4236
ES104412	EXP3727	ESR4269
ES104411	EXP3727	ESR4232
ES104411	EXP3727	ESR4497
ES104427	EXP3727	ESR4222
ES104426	EXP3727	ESR4222
ES104425	EXP3727	ESR4289
ES104424	EXP3727	ESR4428
ES104436	EXP3727	ESR4337
ES104434	EXP3727	ESR4232
ES104432	EXP3727	ESR4256
ES104432	EXP3727	ESR4429
ES104444	EXP3727	ESR4325
ES104443	EXP3727	ESR4225
ES104442	EXP3727	ESR4278
ES104441	EXP3727	ESR4256
ES104439	EXP3727	ESR4269
ES104438	EXP3727	ESR4278
ES104452	EXP3727	ESR4325
ES104448	EXP3727	ESR4219
ES104447	EXP3727	ESR4386
ES104446	EXP3727	ESR4265
ES104459	EXP3727	ESR4256
ES104455	EXP3727	ESR4386
ES104470	EXP3727	ESR4222
ES104468	EXP3727	ESR4289
ES104465	EXP3727	ESR4278
ES104464	EXP3727	ESR4269
ES104463	EXP3727	ESR4497
ES104479	EXP3727	ESR4336
ES104479	EXP3727	ESR4495
ES104472	EXP3727	ESR4269
ES104471	EXP3727	ESR4265
ES104486	EXP3727	ESR4315
ES104485	EXP3727	ESR4289
ES104481	EXP3727	ESR4243
ES104481	EXP3727	ESR4253
ES104481	EXP3727	ESR4386
ES104480	EXP3727	ESR4497
ES104497	EXP3727	ESR4335
ES104496	EXP3727	ESR4269
ES104495	EXP3727	ESR4278
ES104495	EXP3727	ESR4315
ES104494	EXP3727	ESR4278
ES104494	EXP3727	ESR4429
ES104493	EXP3727	ESR4287
ES104492	EXP3727	ESR4278
ES104490	EXP3727	ESR4269
ES104505	EXP3727	ESR4269
ES104503	EXP3727	ESR4278
ES104503	EXP3727	ESR4289
ES104501	EXP3727	ESR4256
ES104500	EXP3727	ESR4423
ES104513	EXP3727	ESR4300
ES104512	EXP3727	ESR4278
ES104510	EXP3727	ESR4256
ES104510	EXP3727	ESR4287
ES104510	EXP3727	ESR4428
ES104507	EXP3727	ESR4236
ES104523	EXP3727	ESR4495
ES104521	EXP3727	ESR4315
ES104520	EXP3727	ESR4429
ES104518	EXP3727	ESR4256
ES104515	EXP3727	ESR4265
ES104529	EXP3727	ESR4289
ES104529	EXP3727	ESR4429
ES104528	EXP3727	ESR4256
ES104525	EXP3727	ESR4253
ES104525	EXP3727	ESR4269
ES104524	EXP3727	ESR4497
ES104539	EXP3727	ESR4325
ES104539	EXP3727	ESR4431
ES104536	EXP3727	ESR4269
ES104535	EXP3727	ESR4220
ES104533	EXP3727	ESR4225
ES104533	EXP3727	ESR4341
ES104549	EXP3727	ESR4269
ES104549	EXP3727	ESR4325
ES104547	EXP3727	ESR4289
ES104545	EXP3727	ESR4269
ES104545	EXP3727	ESR4427
ES104544	EXP3727	ESR4423
ES104542	EXP3727	ESR4265
ES104557	EXP3727	ESR4278
ES104555	EXP3727	ESR4269
ES104555	EXP3727	ESR4428
ES104552	EXP3727	ESR4236
ES104551	EXP3727	ESR4225
ES104567	EXP3727	ESR4222
ES104566	EXP3727	ESR4325
ES104564	EXP3727	ESR4256
ES104563	EXP3727	ESR4278
ES104562	EXP3727	ESR4220
ES104570	EXP3727	ESR4236
ES104585	EXP3727	ESR4495
ES104584	EXP3727	ESR4300
ES104583	EXP3727	ESR4278
ES104583	EXP3727	ESR4315
ES104581	EXP3727	ESR4256
ES104581	EXP3727	ESR4269
ES104580	EXP3727	ESR4427
ES104578	EXP3727	ESR4253
ES104594	EXP3727	ESR4334
ES104594	EXP3727	ESR4337
ES104591	EXP3727	ESR4256
ES104591	EXP3727	ESR4269
ES104591	EXP3727	ESR4289
ES104590	EXP3727	ESR4256
ES104590	EXP3727	ESR4428
ES104588	EXP3727	ESR4423
ES104586	EXP3727	ESR4232
ES104601	EXP3727	ESR4222
ES104600	EXP3727	ESR4256
ES104600	EXP3727	ESR4278
ES104599	EXP3727	ESR4287
ES104596	EXP3727	ESR4236
ES104596	EXP3727	ESR4269
ES104595	EXP3727	ESR4265
ES104610	EXP3727	ESR4495
ES104607	EXP3727	ESR4429
ES104606	EXP3727	ESR4269
ES104603	EXP3727	ESR4386
ES104618	EXP3727	ESR4454
ES104616	EXP3727	ESR4289
ES104613	EXP3727	ESR4219
ES104611	EXP3727	ESR4497
ES104625	EXP3727	ESR4256
ES104625	EXP3727	ESR4289
ES104624	EXP3727	ESR4256
ES104624	EXP3727	ESR4269
ES104622	EXP3727	ESR4278
ES104636	EXP3727	ESR4336
ES104635	EXP3727	ESR4300
ES104645	EXP3727	ESR4495
ES104644	EXP3727	ESR4454
ES104643	EXP3727	ESR4431
ES104640	EXP3727	ESR4256
ES104640	EXP3727	ESR4278
ES104639	EXP3727	ESR4315
ES104653	EXP3727	ESR4325
ES104653	EXP3727	ESR4454
ES104651	EXP3727	ESR4269
ES104650	EXP3727	ESR4428
ES104649	EXP3727	ESR4242
ES104647	EXP3727	ESR4253
ES104647	EXP3727	ESR4269
ES104663	EXP3727	ESR4334
ES104663	EXP3727	ESR4335
ES104662	EXP3727	ESR4300
ES104660	EXP3727	ESR4289
ES104657	EXP3727	ESR4220
ES104657	EXP3727	ESR4423
ES104670	EXP3727	ESR4325
ES104666	EXP3727	ESR4315
ES104665	EXP3727	ESR4236
ES104665	EXP3727	ESR4253
ES104664	EXP3727	ESR4341
ES104681	EXP3727	ESR4335
ES104681	EXP3727	ESR4337
ES104680	EXP3727	ESR4269
ES104679	EXP3727	ESR4315
ES104677	EXP3727	ESR4269
ES104675	EXP3727	ESR4423
ES104673	EXP3727	ESR4232
ES104673	EXP3727	ESR4265
ES104690	EXP3727	ESR4336
ES104689	EXP3727	ESR4300
ES104688	EXP3727	ESR4431
ES104686	EXP3727	ESR4287
ES104685	EXP3727	ESR4427
ES104683	EXP3727	ESR4236
ES104683	EXP3727	ESR4269
ES104698	EXP3727	ESR4222
ES104696	EXP3727	ESR4429
ES104695	EXP3727	ESR4269
ES104693	EXP3727	ESR4219
ES104691	EXP3727	ESR4232
ES147636	EXP3727	ESR4269
ES147635	EXP3727	ESR4253
ES147634	EXP3727	ESR4289
ES147632	EXP3727	ESR4278
ES147646	EXP3727	ESR4334
ES147646	EXP3727	ESR4337
ES147644	EXP3727	ESR4278
ES147644	EXP3727	ESR4427
ES147642	EXP3727	ESR4278
ES147640	EXP3727	ESR4315
ES147640	EXP3727	ESR4325
ES147640	EXP3727	ESR4431
ES147647	EXP3727	ESR4431
ES147659	EXP3727	ESR4336
ES147657	EXP3727	ESR4427
ES147667	EXP3727	ESR4495
ES147666	EXP3727	ESR4269
ES147663	EXP3727	ESR4289
ES147663	EXP3727	ESR4429
ES147662	EXP3727	ESR4278
ES147660	EXP3727	ESR4428
ES147675	EXP3727	ESR4334
ES147672	EXP3727	ESR4269
ES147671	EXP3727	ESR4269
ES147671	EXP3727	ESR4429
ES147670	EXP3727	ESR4278
ES147683	EXP3727	ESR4336
ES147682	EXP3727	ESR4300
ES147680	EXP3727	ESR4236
ES147680	EXP3727	ESR4253
ES147679	EXP3727	ESR4278
ES147677	EXP3727	ESR4325
ES147676	EXP3727	ESR4428
ES147691	EXP3727	ESR4336
ES147691	EXP3727	ESR4495
ES147688	EXP3727	ESR4269
ES147688	EXP3727	ESR4386
ES147687	EXP3727	ESR4256
ES147686	EXP3727	ESR4220
ES147686	EXP3727	ESR4423
ES147696	EXP3727	ESR4334
ES147696	EXP3727	ESR4335
ES147696	EXP3727	ESR4495
ES147694	EXP3727	ESR4243
ES147693	EXP3727	ESR4278
ES147693	EXP3727	ESR4423
ES147701	EXP3727	ESR4334
ES147699	EXP3727	ESR4269
ES147699	EXP3727	ESR4386
ES147705	EXP3727	ESR4300
ES147705	EXP3727	ESR4325
ES147704	EXP3727	ESR4236
ES147704	EXP3727	ESR4243
ES147704	EXP3727	ESR4269
ES147703	EXP3727	ESR4219
ES147703	EXP3727	ESR4423
ES147711	EXP3727	ESR4334
ES147710	EXP3727	ESR4325
ES147709	EXP3727	ESR4243
ES147708	EXP3727	ESR4423
ES147707	EXP3727	ESR4431
ES147716	EXP3727	ESR4336
ES147714	EXP3727	ESR4243
ES147714	EXP3727	ESR4386
ES147713	EXP3727	ESR4315
ES147718	EXP3727	ESR4220
ES147718	EXP3727	ESR4278
ES147726	EXP3727	ESR4335
ES147726	EXP3727	ESR4495
ES147724	EXP3727	ESR4243
ES147723	EXP3727	ESR4220
ES147731	EXP3727	ESR4337
ES147730	EXP3727	ESR4325
ES147729	EXP3727	ESR4236
ES147727	EXP3727	ESR4431
ES147735	EXP3727	ESR4269
ES147734	EXP3727	ESR4386
ES147733	EXP3727	ESR4423
ES147732	EXP3727	ESR4325
ES147732	EXP3727	ESR4431
ES147741	EXP3727	ESR4386
