FCS_HEADER_ID	PARAMETER_NUMBER	PNN_REPORTED	PNS_REPORTED	PNN_PREFERRED	PNN_PREFERRED_TERM_ID	PNS_PREFERRED	PNS_PREFERRED_TERM_ID
138474	1	FSC-H	FSC				
138474	2	SSC-H	SSC				
138474	3	FL1-H	FITC CD4				
138474	4	FL2-H	PE CXCR3				
138474	5	FL3-H	PP CD8				
138474	6	FL4-H	APC CCR5				
125864	1	FSC-H	FSC				
125864	2	SSC-H	SSC				
125864	3	FL1-H	FITC CD56				
125864	4	FL2-H	PE CXCR3				
125864	5	FL3-H	PP CD3				
125864	6	FL4-H	APC CCR5				
130449	1	FSC-H	FSC				
130449	2	SSC-H	SSC				
130449	3	FL1-H	AUTO1				
130449	4	FL2-H	AUTO2				
130449	5	FL3-H	AUTO3				
130449	6	FL4-H	AUTO4				
139989	1	FSC-H	Forward Scatter				
139989	2	SSC-H	Side Scatter				
139989	3	FL1-H	Anti-HLA-DR FITC				
139989	4	FL2-H	PE CD123				
139989	5	FL3-H	PP CD3 14 19 56				
139989	6	FL4-H	APC CD11C				
136693	1	FSC-H	FSC				
136693	2	SSC-H	SSC				
136693	3	FL1-H	FITC CD14				
136693	4	FL2-H	PE CD23				
136693	5	FL3-H	PP CD3				
136693	6	FL4-H	APC CD19				
127665	1	FSC-H	FSC				
127665	2	SSC-H	SSC				
127665	3	FL1-H	FITC CD4				
127665	4	FL2-H	PE CCR3				
127665	5	FL3-H	PP CD8				
127665	6	FL4-H	APC CCR4				
95949	1	FSC-H	FSC				
95949	2	SSC-H	SSC				
95949	3	FL1-H	FITC CD4				
95949	4	FL2-H	PE CD25				
95949	5	FL3-H	PP CD3				
95949	6	FL4-H	APC CD161				
121312	1	FSC-H	FSC				
121312	2	SSC-H	SSC				
121312	3	FL1-H	FITC CD4				
121312	4	FL2-H	PE CD25				
121312	5	FL3-H	PP CD3				
121312	6	FL4-H	APC CD45RA				
87425	1	FSC-H	FSC				
87425	2	SSC-H	SSC				
87425	3	FL1-H	FITC CD4				
87425	4	FL2-H	PE CD25				
87425	5	FL3-H	PP CD3				
87425	6	FL4-H	APC CD45RO				
85933	1	FSC-H	FSC				
85933	2	SSC-H	SSC				
85933	3	FL1-H	FITC CD4				
