FCS_HEADER_ID	PARAMETER_NUMBER	PNN_REPORTED	PNS_REPORTED	PNN_PREFERRED	PNN_PREFERRED_TERM_ID	PNS_PREFERRED	PNS_PREFERRED_TERM_ID
87142	5	FL3-H	PP CD8				
87142	6	FL4-H	APC CCR4				
95147	1	FSC-H	FSC				
95147	2	SSC-H	SSC				
95147	3	FL1-H	FITC CD4				
95147	4	FL2-H	PE CD25				
95147	5	FL3-H	PP CD3				
95147	6	FL4-H	APC CD161				
99379	1	FSC-H	FSC				
99379	2	SSC-H	SSC				
99379	3	FL1-H	FITC CD4				
99379	4	FL2-H	PE CD25				
99379	5	FL3-H	PP CD3				
99379	6	FL4-H	APC CD45RA				
132631	1	FSC-H	FSC				
132631	2	SSC-H	SSC				
132631	3	FL1-H	FITC CD4				
132631	4	FL2-H	PE CD25				
132631	5	FL3-H	PP CD3				
132631	6	FL4-H	APC CD45RO				
130131	1	FSC-H	FSC				
130131	2	SSC-H	SSC				
130131	3	FL1-H	FITC CD4				
130131	4	FL2-H	PE CXCR3				
130131	5	FL3-H	PP CD8				
130131	6	FL4-H	APC CCR5				
144680	1	FSC-H	Forward Scatter				
144680	2	SSC-H	Side Scatter				
144680	3	FL1-H	FITC CD56				
144680	4	FL2-H	PE CD123				
144680	5	FL3-H	PP CD3 14 19				
144680	6	FL4-H	APC CD11C				
134835	1	FSC-H	FSC				
134835	2	SSC-H	SSC				
134835	3	FL1-H	FITC CD56				
134835	4	FL2-H	PE CXCR3				
134835	5	FL3-H	PP CD3				
134835	6	FL4-H	APC CCR5				
116756	1	FSC-H	FSC				
116756	2	SSC-H	SSC				
116756	3	FL1-H	AUTO1				
116756	4	FL2-H	AUTO2				
116756	5	FL3-H	AUTO3				
116756	6	FL4-H	AUTO4				
124589	1	FSC-H	FSC				
124589	2	SSC-H	SSC				
124589	3	FL1-H	FITC CD14				
124589	4	FL2-H	PE CD23				
124589	5	FL3-H	PP CD3				
124589	6	FL4-H	APC CD19				
82679	1	FSC-H	FSC				
82679	2	SSC-H	SSC				
82679	3	FL1-H	FITC CD4				
82679	4	FL2-H	PE CCR3				
82679	5	FL3-H	PP CD8				
82679	6	FL4-H	APC CCR4				
79585	1	FSC-H	FSC				
79585	2	SSC-H	SSC				
79585	3	FL1-H	FITC CD4				
79585	4	FL2-H	PE CD25				
79585	5	FL3-H	PP CD3				
79585	6	FL4-H	APC CD161				
113064	1	FSC-H	FSC				
113064	2	SSC-H	SSC				
113064	3	FL1-H	FITC CD4				
113064	4	FL2-H	PE CD25				
113064	5	FL3-H	PP CD3				
113064	6	FL4-H	APC CD45RA				
77717	1	FSC-H	FSC				
77717	2	SSC-H	SSC				
77717	3	FL1-H	FITC CD4				
77717	4	FL2-H	PE CD25				
77717	5	FL3-H	PP CD3				
77717	6	FL4-H	APC CD45RO				
141704	1	FSC-H	FSC				
141704	2	SSC-H	SSC				
141704	3	FL1-H	FITC CD4				
141704	4	FL2-H	PE CXCR3				
141704	5	FL3-H	PP CD8				
141704	6	FL4-H	APC CCR5				
107559	1	FSC-H	Forward Scatter				
107559	2	SSC-H	Side Scatter				
107559	3	FL1-H	FITC CD56				
107559	4	FL2-H	PE CD123				
107559	5	FL3-H	PP CD3 14 19				
107559	6	FL4-H	APC CD11C				
127772	1	FSC-H	FSC				
127772	2	SSC-H	SSC				
127772	3	FL1-H	FITC CD56				
127772	4	FL2-H	PE CXCR3				
127772	5	FL3-H	PP CD3				
127772	6	FL4-H	APC CCR5				
76271	1	FSC-H	FSC				
76271	2	SSC-H	SSC				
76271	3	FL1-H	AUTO1				
76271	4	FL2-H	AUTO2				
76271	5	FL3-H	AUTO3				
76271	6	FL4-H	AUTO4				
80989	1	FSC-H	FSC				
80989	2	SSC-H	SSC				
80989	3	FL1-H	FITC CD14				
80989	4	FL2-H	PE CD23				
80989	5	FL3-H	PP CD3				
80989	6	FL4-H	APC CD19				
148788	1	FSC-H	FSC				
148788	2	SSC-H	SSC				
148788	3	FL1-H	FITC CD4				
148788	4	FL2-H	PE CCR3				
148788	5	FL3-H	PP CD8				
148788	6	FL4-H	APC CCR4				
95306	1	FSC-H	FSC				
95306	2	SSC-H	SSC				
95306	3	FL1-H	FITC CD4				
95306	4	FL2-H	PE CD25				
95306	5	FL3-H	PP CD3				
95306	6	FL4-H	APC CD161				
146621	1	FSC-H	FSC				
146621	2	SSC-H	SSC				
146621	3	FL1-H	FITC CD4				
146621	4	FL2-H	PE CD25				
146621	5	FL3-H	PP CD3				
146621	6	FL4-H	APC CD45RA				
93563	1	FSC-H	FSC				
93563	2	SSC-H	SSC				
93563	3	FL1-H	FITC CD4				
93563	4	FL2-H	PE CD25				
93563	5	FL3-H	PP CD3				
93563	6	FL4-H	APC CD45RO				
145727	1	FSC-H	FSC				
145727	2	SSC-H	SSC				
145727	3	FL1-H	FITC CD4				
145727	4	FL2-H	PE CXCR3				
145727	5	FL3-H	PP CD8				
145727	6	FL4-H	APC CCR5				
118296	1	FSC-H	Forward Scatter				
118296	2	SSC-H	Side Scatter				
118296	3	FL1-H	FITC CD56				
118296	4	FL2-H	PE CD123				
118296	5	FL3-H	PP CD3 14 19				
118296	6	FL4-H	APC CD11C				
93016	1	FSC-H	FSC				
93016	2	SSC-H	SSC				
93016	3	FL1-H	FITC CD56				
93016	4	FL2-H	PE CXCR3				
93016	5	FL3-H	PP CD3				
93016	6	FL4-H	APC CCR5				
147327	1	FSC-H	FSC				
147327	2	SSC-H	SSC				
147327	3	FL1-H	AUTO1				
147327	4	FL2-H	AUTO2				
147327	5	FL3-H	AUTO3				
147327	6	FL4-H	AUTO4				
82685	1	FSC-H	FSC				
82685	2	SSC-H	SSC				
82685	3	FL1-H	FITC CD14				
82685	4	FL2-H	PE CD23				
82685	5	FL3-H	PP CD3				
82685	6	FL4-H	APC CD19				
107684	1	FSC-H	FSC				
107684	2	SSC-H	SSC				
107684	3	FL1-H	FITC CD4				
107684	4	FL2-H	PE CCR3				
107684	5	FL3-H	PP CD8				
107684	6	FL4-H	APC CCR4				
83281	1	FSC-H	FSC				
83281	2	SSC-H	SSC				
83281	3	FL1-H	FITC CD4				
83281	4	FL2-H	PE CD25				
83281	5	FL3-H	PP CD3				
83281	6	FL4-H	APC CD161				
134113	1	FSC-H	FSC				
134113	2	SSC-H	SSC				
134113	3	FL1-H	FITC CD4				
134113	4	FL2-H	PE CD25				
134113	5	FL3-H	PP CD3				
134113	6	FL4-H	APC CD45RA				
79297	1	FSC-H	FSC				
79297	2	SSC-H	SSC				
79297	3	FL1-H	FITC CD4				
79297	4	FL2-H	PE CD25				
79297	5	FL3-H	PP CD3				
79297	6	FL4-H	APC CD45RO				
145950	1	FSC-H	FSC				
145950	2	SSC-H	SSC				
145950	3	FL1-H	FITC CD4				
145950	4	FL2-H	PE CXCR3				
145950	5	FL3-H	PP CD8				
145950	6	FL4-H	APC CCR5				
128482	1	FSC-H	Forward Scatter				
128482	2	SSC-H	Side Scatter				
128482	3	FL1-H	FITC CD56				
128482	4	FL2-H	PE CD123				
128482	5	FL3-H	PP CD3 14 19				
128482	6	FL4-H	APC CD11C				
146654	1	FSC-H	FSC				
146654	2	SSC-H	SSC				
146654	3	FL1-H	FITC CD56				
146654	4	FL2-H	PE CXCR3				
146654	5	FL3-H	PP CD3				
146654	6	FL4-H	APC CCR5				
139785	1	FSC-H	FSC				
139785	2	SSC-H	SSC				
139785	3	FL1-H	AUTO1				
139785	4	FL2-H	AUTO2				
139785	5	FL3-H	AUTO3				
139785	6	FL4-H	AUTO4				
87006	1	FSC-H	FSC				
87006	2	SSC-H	SSC				
87006	3	FL1-H	FITC CD14				
87006	4	FL2-H	PE CD23				
87006	5	FL3-H	PP CD3				
87006	6	FL4-H	APC CD19				
129728	1	FSC-H	FSC				
129728	2	SSC-H	SSC				
129728	3	FL1-H	FITC CD4				
129728	4	FL2-H	PE CCR3				
129728	5	FL3-H	PP CD8				
129728	6	FL4-H	APC CCR4				
98033	1	FSC-H	FSC				
98033	2	SSC-H	SSC				
98033	3	FL1-H	FITC CD4				
98033	4	FL2-H	PE CD25				
98033	5	FL3-H	PP CD3				
98033	6	FL4-H	APC CD161				
147892	1	FSC-H	FSC				
147892	2	SSC-H	SSC				
147892	3	FL1-H	FITC CD4				
147892	4	FL2-H	PE CD25				
147892	5	FL3-H	PP CD3				
147892	6	FL4-H	APC CD45RA				
128731	1	FSC-H	FSC				
128731	2	SSC-H	SSC				
128731	3	FL1-H	FITC CD4				
128731	4	FL2-H	PE CD25				
128731	5	FL3-H	PP CD3				
128731	6	FL4-H	APC CD45RO				
139064	1	FSC-H	FSC				
139064	2	SSC-H	SSC				
139064	3	FL1-H	FITC CD4				
139064	4	FL2-H	PE CXCR3				
139064	5	FL3-H	PP CD8				
139064	6	FL4-H	APC CCR5				
85953	1	FSC-H	Forward Scatter				
85953	2	SSC-H	Side Scatter				
85953	3	FL1-H	FITC CD56				
85953	4	FL2-H	PE CD123				
85953	5	FL3-H	PP CD3 14 19				
85953	6	FL4-H	APC CD11C				
102005	1	FSC-H	FSC				
102005	2	SSC-H	SSC				
102005	3	FL1-H	FITC CD56				
102005	4	FL2-H	PE CXCR3				
102005	5	FL3-H	PP CD3				
102005	6	FL4-H	APC CCR5				
130085	1	FSC-H	FSC				
130085	2	SSC-H	SSC				
130085	3	FL1-H	AUTO1				
130085	4	FL2-H	AUTO2				
130085	5	FL3-H	AUTO3				
130085	6	FL4-H	AUTO4				
89163	1	FSC-H	FSC				
89163	2	SSC-H	SSC				
89163	3	FL1-H	FITC CD14				
89163	4	FL2-H	PE CD23				
89163	5	FL3-H	PP CD3				
89163	6	FL4-H	APC CD19				
107291	1	FSC-H	FSC				
107291	2	SSC-H	SSC				
107291	3	FL1-H	FITC CD4				
107291	4	FL2-H	PE CCR3				
107291	5	FL3-H	PP CD8				
107291	6	FL4-H	APC CCR4				
91436	1	FSC-H	FSC				
91436	2	SSC-H	SSC				
91436	3	FL1-H	FITC CD4				
91436	4	FL2-H	PE CD25				
91436	5	FL3-H	PP CD3				
91436	6	FL4-H	APC CD161				
149476	1	FSC-H	FSC				
149476	2	SSC-H	SSC				
149476	3	FL1-H	FITC CD4				
149476	4	FL2-H	PE CD25				
149476	5	FL3-H	PP CD3				
149476	6	FL4-H	APC CD45RA				
119545	1	FSC-H	FSC				
119545	2	SSC-H	SSC				
119545	3	FL1-H	FITC CD4				
119545	4	FL2-H	PE CD25				
119545	5	FL3-H	PP CD3				
119545	6	FL4-H	APC CD45RO				
110152	1	FSC-H	FSC				
110152	2	SSC-H	SSC				
110152	3	FL1-H	FITC CD4				
110152	4	FL2-H	PE CXCR3				
110152	5	FL3-H	PP CD8				
110152	6	FL4-H	APC CCR5				
97822	1	FSC-H	Forward Scatter				
97822	2	SSC-H	Side Scatter				
97822	3	FL1-H	FITC CD56				
97822	4	FL2-H	PE CD123				
97822	5	FL3-H	PP CD3 14 19				
97822	6	FL4-H	APC CD11C				
109464	1	FSC-H	FSC				
109464	2	SSC-H	SSC				
109464	3	FL1-H	FITC CD56				
109464	4	FL2-H	PE CXCR3				
109464	5	FL3-H	PP CD3				
109464	6	FL4-H	APC CCR5				
128409	1	FSC-H	FSC				
128409	2	SSC-H	SSC				
128409	3	FL1-H	AUTO1				
128409	4	FL2-H	AUTO2				
128409	5	FL3-H	AUTO3				
128409	6	FL4-H	AUTO4				
134818	1	FSC-H	FSC				
134818	2	SSC-H	SSC				
134818	3	FL1-H	FITC CD14				
134818	4	FL2-H	PE CD23				
134818	5	FL3-H	PP CD3				
134818	6	FL4-H	APC CD19				
147137	1	FSC-H	FSC				
147137	2	SSC-H	SSC				
147137	3	FL1-H	FITC CD4				
147137	4	FL2-H	PE CCR3				
147137	5	FL3-H	PP CD8				
147137	6	FL4-H	APC CCR4				
120978	1	FSC-H	FSC				
120978	2	SSC-H	SSC				
120978	3	FL1-H	FITC CD4				
120978	4	FL2-H	PE CD25				
120978	5	FL3-H	PP CD3				
120978	6	FL4-H	APC CD161				
98074	1	FSC-H	FSC				
98074	2	SSC-H	SSC				
98074	3	FL1-H	FITC CD4				
98074	4	FL2-H	PE CD25				
98074	5	FL3-H	PP CD3				
98074	6	FL4-H	APC CD45RA				
108120	1	FSC-H	FSC				
108120	2	SSC-H	SSC				
108120	3	FL1-H	FITC CD4				
108120	4	FL2-H	PE CD25				
108120	5	FL3-H	PP CD3				
108120	6	FL4-H	APC CD45RO				
133220	1	FSC-H	FSC				
133220	2	SSC-H	SSC				
133220	3	FL1-H	FITC CD4				
133220	4	FL2-H	PE CXCR3				
133220	5	FL3-H	PP CD8				
133220	6	FL4-H	APC CCR5				
148319	1	FSC-H	Forward Scatter				
148319	2	SSC-H	Side Scatter				
148319	3	FL1-H	FITC CD56				
148319	4	FL2-H	PE CD123				
148319	5	FL3-H	PP CD3 14 19				
148319	6	FL4-H	APC CD11C				
88858	1	FSC-H	FSC				
88858	2	SSC-H	SSC				
88858	3	FL1-H	FITC CD56				
88858	4	FL2-H	PE CXCR3				
88858	5	FL3-H	PP CD3				
88858	6	FL4-H	APC CCR5				
129424	1	FSC-H	FSC				
129424	2	SSC-H	SSC				
129424	3	FL1-H	AUTO1				
129424	4	FL2-H	AUTO2				
129424	5	FL3-H	AUTO3				
129424	6	FL4-H	AUTO4				
76589	1	FSC-H	FSC				
76589	2	SSC-H	SSC				
76589	3	FL1-H	FITC CD14				
76589	4	FL2-H	PE CD23				
76589	5	FL3-H	PP CD3				
76589	6	FL4-H	APC CD19				
144061	1	FSC-H	FSC				
144061	2	SSC-H	SSC				
144061	3	FL1-H	FITC CD4				
144061	4	FL2-H	PE CCR3				
144061	5	FL3-H	PP CD8				
144061	6	FL4-H	APC CCR4				
123235	1	FSC-H	FSC				
123235	2	SSC-H	SSC				
123235	3	FL1-H	FITC CD4				
123235	4	FL2-H	PE CD25				
123235	5	FL3-H	PP CD3				
123235	6	FL4-H	APC CD161				
83292	1	FSC-H	FSC				
83292	2	SSC-H	SSC				
83292	3	FL1-H	FITC CD4				
83292	4	FL2-H	PE CD25				
83292	5	FL3-H	PP CD3				
83292	6	FL4-H	APC CD45RA				
147833	1	FSC-H	FSC				
147833	2	SSC-H	SSC				
147833	3	FL1-H	FITC CD4				
147833	4	FL2-H	PE CD25				
147833	5	FL3-H	PP CD3				
147833	6	FL4-H	APC CD45RO				
75995	1	FSC-H	FSC				
75995	2	SSC-H	SSC				
75995	3	FL1-H	FITC CD4				
75995	4	FL2-H	PE CXCR3				
75995	5	FL3-H	PP CD8				
75995	6	FL4-H	APC CCR5				
135354	1	FSC-H	Forward Scatter				
135354	2	SSC-H	Side Scatter				
135354	3	FL1-H	FITC CD56				
135354	4	FL2-H	PE CD123				
135354	5	FL3-H	PP CD3 14 19				
135354	6	FL4-H	APC CD11C				
95781	1	FSC-H	FSC				
95781	2	SSC-H	SSC				
95781	3	FL1-H	FITC CD56				
95781	4	FL2-H	PE CXCR3				
95781	5	FL3-H	PP CD3				
95781	6	FL4-H	APC CCR5				
76365	1	FSC-H	FSC				
76365	2	SSC-H	SSC				
76365	3	FL1-H	AUTO1				
76365	4	FL2-H	AUTO2				
76365	5	FL3-H	AUTO3				
76365	6	FL4-H	AUTO4				
131295	1	FSC-H	FSC				
131295	2	SSC-H	SSC				
131295	3	FL1-H	FITC CD14				
131295	4	FL2-H	PE CD23				
131295	5	FL3-H	PP CD3				
131295	6	FL4-H	APC CD19				
138486	1	FSC-H	FSC				
138486	2	SSC-H	SSC				
138486	3	FL1-H	FITC CD4				
138486	4	FL2-H	PE CCR3				
138486	5	FL3-H	PP CD8				
138486	6	FL4-H	APC CCR4				
84707	1	FSC-H	FSC				
84707	2	SSC-H	SSC				
84707	3	FL1-H	FITC CD4				
84707	4	FL2-H	PE CD25				
84707	5	FL3-H	PP CD3				
84707	6	FL4-H	APC CD161				
81588	1	FSC-H	FSC				
81588	2	SSC-H	SSC				
81588	3	FL1-H	FITC CD4				
81588	4	FL2-H	PE CD25				
81588	5	FL3-H	PP CD3				
81588	6	FL4-H	APC CD45RA				
131367	1	FSC-H	FSC				
131367	2	SSC-H	SSC				
131367	3	FL1-H	FITC CD4				
131367	4	FL2-H	PE CD25				
131367	5	FL3-H	PP CD3				
131367	6	FL4-H	APC CD45RO				
77297	1	FSC-H	FSC				
77297	2	SSC-H	SSC				
77297	3	FL1-H	FITC CD4				
77297	4	FL2-H	PE CXCR3				
77297	5	FL3-H	PP CD8				
77297	6	FL4-H	APC CCR5				
118984	1	FSC-H	Forward Scatter				
118984	2	SSC-H	Side Scatter				
118984	3	FL1-H	FITC CD56				
118984	4	FL2-H	PE CD123				
118984	5	FL3-H	PP CD3 14 19				
118984	6	FL4-H	APC CD11C				
112156	1	FSC-H	FSC				
112156	2	SSC-H	SSC				
112156	3	FL1-H	FITC CD56				
112156	4	FL2-H	PE CXCR3				
112156	5	FL3-H	PP CD3				
112156	6	FL4-H	APC CCR5				
109928	1	FSC-H	FSC				
109928	2	SSC-H	SSC				
109928	3	FL1-H	AUTO1				
109928	4	FL2-H	AUTO2				
109928	5	FL3-H	AUTO3				
109928	6	FL4-H	AUTO4				
98439	1	FSC-H	FSC				
98439	2	SSC-H	SSC				
98439	3	FL1-H	FITC CD14				
98439	4	FL2-H	PE CD23				
98439	5	FL3-H	PP CD3				
98439	6	FL4-H	APC CD19				
132810	1	FSC-H	FSC				
132810	2	SSC-H	SSC				
132810	3	FL1-H	FITC CD4				
132810	4	FL2-H	PE CCR3				
132810	5	FL3-H	PP CD8				
132810	6	FL4-H	APC CCR4				
80023	1	FSC-H	FSC				
80023	2	SSC-H	SSC				
80023	3	FL1-H	FITC CD4				
80023	4	FL2-H	PE CD25				
80023	5	FL3-H	PP CD3				
80023	6	FL4-H	APC CD161				
144417	1	FSC-H	FSC				
144417	2	SSC-H	SSC				
144417	3	FL1-H	FITC CD4				
144417	4	FL2-H	PE CD25				
144417	5	FL3-H	PP CD3				
144417	6	FL4-H	APC CD45RA				
99979	1	FSC-H	FSC				
99979	2	SSC-H	SSC				
99979	3	FL1-H	FITC CD4				
99979	4	FL2-H	PE CD25				
99979	5	FL3-H	PP CD3				
99979	6	FL4-H	APC CD45RO				
149306	1	FSC-H	FSC				
149306	2	SSC-H	SSC				
149306	3	FL1-H	FITC CD4				
149306	4	FL2-H	PE CXCR3				
149306	5	FL3-H	PP CD8				
149306	6	FL4-H	APC CCR5				
108992	1	FSC-H	Forward Scatter				
108992	2	SSC-H	Side Scatter				
108992	3	FL1-H	FITC CD56				
108992	4	FL2-H	PE CD123				
108992	5	FL3-H	PP CD3 14 19				
108992	6	FL4-H	APC CD11C				
121301	1	FSC-H	FSC				
121301	2	SSC-H	SSC				
121301	3	FL1-H	FITC CD56				
121301	4	FL2-H	PE CXCR3				
121301	5	FL3-H	PP CD3				
121301	6	FL4-H	APC CCR5				
92538	1	FSC-H	FSC				
92538	2	SSC-H	SSC				
92538	3	FL1-H	AUTO1				
92538	4	FL2-H	AUTO2				
92538	5	FL3-H	AUTO3				
92538	6	FL4-H	AUTO4				
82865	1	FSC-H	FSC				
82865	2	SSC-H	SSC				
82865	3	FL1-H	FITC CD14				
82865	4	FL2-H	PE CD23				
82865	5	FL3-H	PP CD3				
82865	6	FL4-H	APC CD19				
107023	1	FSC-H	FSC				
107023	2	SSC-H	SSC				
107023	3	FL1-H	FITC CD4				
107023	4	FL2-H	PE CCR3				
107023	5	FL3-H	PP CD8				
107023	6	FL4-H	APC CCR4				
118696	1	FSC-H	FSC				
118696	2	SSC-H	SSC				
118696	3	FL1-H	FITC CD4				
118696	4	FL2-H	PE CD25				
118696	5	FL3-H	PP CD3				
118696	6	FL4-H	APC CD161				
91872	1	FSC-H	FSC				
91872	2	SSC-H	SSC				
91872	3	FL1-H	FITC CD4				
91872	4	FL2-H	PE CD25				
91872	5	FL3-H	PP CD3				
91872	6	FL4-H	APC CD45RA				
117088	1	FSC-H	FSC				
117088	2	SSC-H	SSC				
117088	3	FL1-H	FITC CD4				
117088	4	FL2-H	PE CD25				
117088	5	FL3-H	PP CD3				
117088	6	FL4-H	APC CD45RO				
81454	1	FSC-H	FSC				
81454	2	SSC-H	SSC				
81454	3	FL1-H	FITC CD4				
81454	4	FL2-H	PE CXCR3				
81454	5	FL3-H	PP CD8				
81454	6	FL4-H	APC CCR5				
92921	1	FSC-H	Forward Scatter				
92921	2	SSC-H	Side Scatter				
92921	3	FL1-H	FITC CD56				
92921	4	FL2-H	PE CD123				
92921	5	FL3-H	PP CD3 14 19				
92921	6	FL4-H	APC CD11C				
127733	1	FSC-H	FSC				
127733	2	SSC-H	SSC				
127733	3	FL1-H	FITC CD56				
127733	4	FL2-H	PE CXCR3				
127733	5	FL3-H	PP CD3				
127733	6	FL4-H	APC CCR5				
93543	1	FSC-H	FSC				
93543	2	SSC-H	SSC				
93543	3	FL1-H	AUTO1				
93543	4	FL2-H	AUTO2				
93543	5	FL3-H	AUTO3				
93543	6	FL4-H	AUTO4				
131768	1	FSC-H	FSC				
131768	2	SSC-H	SSC				
131768	3	FL1-H	FITC CD14				
131768	4	FL2-H	PE CD23				
131768	5	FL3-H	PP CD3				
131768	6	FL4-H	APC CD19				
131359	1	FSC-H	FSC				
131359	2	SSC-H	SSC				
131359	3	FL1-H	FITC CD4				
131359	4	FL2-H	PE CCR3				
131359	5	FL3-H	PP CD8				
131359	6	FL4-H	APC CCR4				
113743	1	FSC-H	FSC				
113743	2	SSC-H	SSC				
113743	3	FL1-H	FITC CD4				
113743	4	FL2-H	PE CD25				
113743	5	FL3-H	PP CD3				
113743	6	FL4-H	APC CD161				
106707	1	FSC-H	FSC				
106707	2	SSC-H	SSC				
106707	3	FL1-H	FITC CD4				
106707	4	FL2-H	PE CD25				
106707	5	FL3-H	PP CD3				
106707	6	FL4-H	APC CD45RA				
122518	1	FSC-H	FSC				
122518	2	SSC-H	SSC				
122518	3	FL1-H	FITC CD4				
122518	4	FL2-H	PE CD25				
122518	5	FL3-H	PP CD3				
122518	6	FL4-H	APC CD45RO				
122511	1	FSC-H	FSC				
122511	2	SSC-H	SSC				
122511	3	FL1-H	FITC CD4				
122511	4	FL2-H	PE CXCR3				
122511	5	FL3-H	PP CD8				
122511	6	FL4-H	APC CCR5				
139001	1	FSC-H	Forward Scatter				
139001	2	SSC-H	Side Scatter				
139001	3	FL1-H	FITC CD56				
139001	4	FL2-H	PE CD123				
139001	5	FL3-H	PP CD3 14 19				
139001	6	FL4-H	APC CD11C				
76612	1	FSC-H	FSC				
76612	2	SSC-H	SSC				
76612	3	FL1-H	FITC CD56				
76612	4	FL2-H	PE CXCR3				
76612	5	FL3-H	PP CD3				
76612	6	FL4-H	APC CCR5				
89371	1	FSC-H	FSC				
89371	2	SSC-H	SSC				
89371	3	FL1-H	AUTO1				
89371	4	FL2-H	AUTO2				
89371	5	FL3-H	AUTO3				
89371	6	FL4-H	AUTO4				
105209	1	FSC-H	FSC				
105209	2	SSC-H	SSC				
105209	3	FL1-H	FITC CD14				
105209	4	FL2-H	PE CD23				
105209	5	FL3-H	PP CD3				
105209	6	FL4-H	APC CD19				
81169	1	FSC-H	FSC				
81169	2	SSC-H	SSC				
81169	3	FL1-H	FITC CD4				
81169	4	FL2-H	PE CCR3				
81169	5	FL3-H	PP CD8				
81169	6	FL4-H	APC CCR4				
129494	1	FSC-H	FSC				
129494	2	SSC-H	SSC				
129494	3	FL1-H	FITC CD4				
129494	4	FL2-H	PE CD25				
129494	5	FL3-H	PP CD3				
129494	6	FL4-H	APC CD161				
116817	1	FSC-H	FSC				
116817	2	SSC-H	SSC				
116817	3	FL1-H	FITC CD4				
116817	4	FL2-H	PE CD25				
116817	5	FL3-H	PP CD3				
116817	6	FL4-H	APC CD45RA				
147475	1	FSC-H	FSC				
147475	2	SSC-H	SSC				
147475	3	FL1-H	FITC CD4				
147475	4	FL2-H	PE CD25				
147475	5	FL3-H	PP CD3				
147475	6	FL4-H	APC CD45RO				
140241	1	FSC-H	FSC				
140241	2	SSC-H	SSC				
140241	3	FL1-H	FITC CD4				
140241	4	FL2-H	PE CXCR3				
140241	5	FL3-H	PP CD8				
140241	6	FL4-H	APC CCR5				
126982	1	FSC-H	Forward Scatter				
126982	2	SSC-H	Side Scatter				
126982	3	FL1-H	FITC CD56				
126982	4	FL2-H	PE CD123				
126982	5	FL3-H	PP CD3 14 19				
126982	6	FL4-H	APC CD11C				
144044	1	FSC-H	FSC				
144044	2	SSC-H	SSC				
144044	3	FL1-H	FITC CD56				
144044	4	FL2-H	PE CXCR3				
144044	5	FL3-H	PP CD3				
144044	6	FL4-H	APC CCR5				
141177	1	FSC-H	FSC				
141177	2	SSC-H	SSC				
141177	3	FL1-H	AUTO1				
141177	4	FL2-H	AUTO2				
141177	5	FL3-H	AUTO3				
141177	6	FL4-H	AUTO4				
105405	1	FSC-H	FSC				
105405	2	SSC-H	SSC				
105405	3	FL1-H	FITC CD14				
105405	4	FL2-H	PE CD23				
105405	5	FL3-H	PP CD3				
105405	6	FL4-H	APC CD19				
136560	1	FSC-H	FSC				
136560	2	SSC-H	SSC				
136560	3	FL1-H	FITC CD4				
136560	4	FL2-H	PE CCR3				
136560	5	FL3-H	PP CD8				
136560	6	FL4-H	APC CCR4				
114479	1	FSC-H	FSC				
114479	2	SSC-H	SSC				
114479	3	FL1-H	FITC CD4				
114479	4	FL2-H	PE CD25				
114479	5	FL3-H	PP CD3				
114479	6	FL4-H	APC CD161				
94362	1	FSC-H	FSC				
94362	2	SSC-H	SSC				
94362	3	FL1-H	FITC CD4				
94362	4	FL2-H	PE CD25				
94362	5	FL3-H	PP CD3				
94362	6	FL4-H	APC CD45RA				
91585	1	FSC-H	FSC				
91585	2	SSC-H	SSC				
91585	3	FL1-H	FITC CD4				
91585	4	FL2-H	PE CD25				
91585	5	FL3-H	PP CD3				
91585	6	FL4-H	APC CD45RO				
115514	1	FSC-H	FSC				
115514	2	SSC-H	SSC				
115514	3	FL1-H	FITC CD4				
115514	4	FL2-H	PE CXCR3				
115514	5	FL3-H	PP CD8				
115514	6	FL4-H	APC CCR5				
134830	1	FSC-H	Forward Scatter				
134830	2	SSC-H	Side Scatter				
134830	3	FL1-H	FITC CD56				
134830	4	FL2-H	PE CD123				
134830	5	FL3-H	PP CD3 14 19				
134830	6	FL4-H	APC CD11C				
98980	1	FSC-H	FSC				
98980	2	SSC-H	SSC				
98980	3	FL1-H	FITC CD56				
98980	4	FL2-H	PE CXCR3				
98980	5	FL3-H	PP CD3				
98980	6	FL4-H	APC CCR5				
137540	1	FSC-H	FSC				
137540	2	SSC-H	SSC				
137540	3	FL1-H	AUTO1				
137540	4	FL2-H	AUTO2				
137540	5	FL3-H	AUTO3				
137540	6	FL4-H	AUTO4				
148521	1	FSC-H	FSC				
148521	2	SSC-H	SSC				
148521	3	FL1-H	FITC CD14				
148521	4	FL2-H	PE CD23				
148521	5	FL3-H	PP CD3				
148521	6	FL4-H	APC CD19				
81503	1	FSC-H	FSC				
81503	2	SSC-H	SSC				
81503	3	FL1-H	FITC CD4				
81503	4	FL2-H	PE CCR3				
81503	5	FL3-H	PP CD8				
81503	6	FL4-H	APC CCR4				
81445	1	FSC-H	FSC				
81445	2	SSC-H	SSC				
81445	3	FL1-H	FITC CD4				
81445	4	FL2-H	PE CD25				
81445	5	FL3-H	PP CD3				
81445	6	FL4-H	APC CD161				
113906	1	FSC-H	FSC				
113906	2	SSC-H	SSC				
113906	3	FL1-H	FITC CD4				
113906	4	FL2-H	PE CD25				
113906	5	FL3-H	PP CD3				
113906	6	FL4-H	APC CD45RA				
81481	1	FSC-H	FSC				
81481	2	SSC-H	SSC				
81481	3	FL1-H	FITC CD4				
81481	4	FL2-H	PE CD25				
81481	5	FL3-H	PP CD3				
