EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
ES104032	EXP3727	69459	Flow_Cytometry	FCM
ES104034	EXP3727	69464	Flow_Cytometry	FCM
ES104035	EXP3727	69466	Flow_Cytometry	FCM
ES104040	EXP3727	69399	Flow_Cytometry	FCM
ES104041	EXP3727	69405	Flow_Cytometry	FCM
ES104044	EXP3727	69412	Flow_Cytometry	FCM
ES104048	EXP3727	70392	Flow_Cytometry	FCM
ES104049	EXP3727	70382	Flow_Cytometry	FCM
ES104050	EXP3727	70388	Flow_Cytometry	FCM
ES104051	EXP3727	70385	Flow_Cytometry	FCM
ES104055	EXP3727	70354	Flow_Cytometry	FCM
ES104057	EXP3727	70356	Flow_Cytometry	FCM
ES104058	EXP3727	70347	Flow_Cytometry	FCM
ES104061	EXP3727	70358	Flow_Cytometry	FCM
ES104063	EXP3727	69918	Flow_Cytometry	FCM
ES104065	EXP3727	69906	Flow_Cytometry	FCM
ES104068	EXP3727	69909	Flow_Cytometry	FCM
ES104068	EXP3727	69908	Flow_Cytometry	FCM
ES104069	EXP3727	69905	Flow_Cytometry	FCM
ES104078	EXP3727	69670	Flow_Cytometry	FCM
ES104079	EXP3727	69681	Flow_Cytometry	FCM
ES104082	EXP3727	68162	Flow_Cytometry	FCM
ES104086	EXP3727	68160	Flow_Cytometry	FCM
ES104089	EXP3727	68167	Flow_Cytometry	FCM
ES104091	EXP3727	70284	Flow_Cytometry	FCM
ES104094	EXP3727	70277	Flow_Cytometry	FCM
ES104096	EXP3727	70279	Flow_Cytometry	FCM
ES104105	EXP3727	68423	Flow_Cytometry	FCM
ES104109	EXP3727	69893	Flow_Cytometry	FCM
ES104110	EXP3727	69889	Flow_Cytometry	FCM
ES104110	EXP3727	69888	Flow_Cytometry	FCM
ES104134	EXP3727	67736	Flow_Cytometry	FCM
ES104136	EXP3727	69857	Flow_Cytometry	FCM
ES104137	EXP3727	69853	Flow_Cytometry	FCM
ES104138	EXP3727	69858	Flow_Cytometry	FCM
ES104141	EXP3727	69850	Flow_Cytometry	FCM
ES104145	EXP3727	69443	Flow_Cytometry	FCM
ES104146	EXP3727	69439	Flow_Cytometry	FCM
