FCS_HEADER_ID	EXPERIMENT_ACCESSION	EXPSAMPLE_ACCESSION	FILE_INFO_ID	FCS_FILENAME	FCS_VERSION	COMPENSATION_FLAG	PANEL_REPORTED	PANEL_PREFERRED	NUMBER_OF_EVENTS	MINIMUM_INTENSITY	MAXIMUM_INTENSITY	NUMBER_OF_MARKERS	FCS_HEADER_TEXT
144134	EXP3727	ES89155	65428	10103222.001.fcs	1	N	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C		200000	0	1023	6	
143940	EXP3727	ES89156	65420	10103221.005.fcs	1	N	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19		20000	0	1023	6	
94399	EXP3727	ES89157	65416	10103221.003.fcs	1	N	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4		20000	0	1023	6	
139971	EXP3727	ES89158	65422	10103221.006.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161		20000	0	1023	6	
141077	EXP3727	ES89159	65412	10103221.001.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA		20000	0	1023	6	
115796	EXP3727	ES89160	65418	10103221.004.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO		20000	0	1023	6	
101878	EXP3727	ES89161	65414	10103221.002.fcs	1	N	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5		20000	0	1023	6	
123077	EXP3727	ES89162	65424	10103221.007.fcs	1	N	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5		20000	0	1023	6	
76615	EXP3727	ES89163	65426	10103221.008.fcs	1	N	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4		20000	0	1023	6	
85337	EXP3727	ES89164	66168	10163152.001.fcs	1	N	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C		200000	0	1023	6	
126485	EXP3727	ES89165	66160	10163151.005.fcs	1	N	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19		20000	0	1023	6	
97314	EXP3727	ES89166	66156	10163151.003.fcs	1	N	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4		20000	0	1023	6	
90730	EXP3727	ES89167	66162	10163151.006.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161		20000	0	1023	6	
93419	EXP3727	ES89168	66152	10163151.001.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA		20000	0	1023	6	
84561	EXP3727	ES89169	66158	10163151.004.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO		20000	0	1023	6	
116039	EXP3727	ES89170	66154	10163151.002.fcs	1	N	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5		20000	0	1023	6	
120384	EXP3727	ES89171	66164	10163151.007.fcs	1	N	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5		20000	0	1023	6	
100786	EXP3727	ES89172	66166	10163151.008.fcs	1	N	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4		20000	0	1023	6	
151068	EXP3727	ES89173	66552	10233052.001.fcs	1	N	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C		70020	0	1023	6	
124007	EXP3727	ES89174	66544	10233051.005.fcs	1	N	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19		20000	0	1023	6	
139072	EXP3727	ES89175	66540	10233051.003.fcs	1	N	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4		20000	0	1023	6	
115929	EXP3727	ES89176	66546	10233051.006.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161		20000	0	1023	6	
