FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	PURPOSE	WORKSPACE_ID
64404	Flow cytometry result in fcs format	2101748	09123312.001.fcs	Flow cytometry result	990
64405	Flow cytometry result in text format	4109827	09123312.001.txt	Flow cytometry result	990
64406	Flow cytometry result in fcs format	242048	09123321.001.fcs	Flow cytometry result	990
64407	Flow cytometry result in text format	468167	09123321.001.txt	Flow cytometry result	990
64408	Flow cytometry result in fcs format	242048	09123321.002.fcs	Flow cytometry result	990
64409	Flow cytometry result in text format	458078	09123321.002.txt	Flow cytometry result	990
64410	Flow cytometry result in fcs format	242048	09123321.003.fcs	Flow cytometry result	990
64411	Flow cytometry result in text format	456256	09123321.003.txt	Flow cytometry result	990
64412	Flow cytometry result in fcs format	242048	09123321.004.fcs	Flow cytometry result	990
64413	Flow cytometry result in text format	465140	09123321.004.txt	Flow cytometry result	990
64414	Flow cytometry result in fcs format	242048	09123321.005.fcs	Flow cytometry result	990
64415	Flow cytometry result in text format	461533	09123321.005.txt	Flow cytometry result	990
64416	Flow cytometry result in fcs format	242048	09123321.006.fcs	Flow cytometry result	990
64417	Flow cytometry result in text format	465494	09123321.006.txt	Flow cytometry result	990
64418	Flow cytometry result in fcs format	242048	09123321.007.fcs	Flow cytometry result	990
64419	Flow cytometry result in text format	465384	09123321.007.txt	Flow cytometry result	990
64420	Flow cytometry result in fcs format	242048	09123321.008.fcs	Flow cytometry result	990
64421	Flow cytometry result in text format	440295	09123321.008.txt	Flow cytometry result	990
64422	Flow cytometry result in fcs format	2402048	09123322.001.fcs	Flow cytometry result	990
64423	Flow cytometry result in text format	4660552	09123322.001.txt	Flow cytometry result	990
64425	Flow cytometry result in fcs format	242048	09123331.001.fcs	Flow cytometry result	990
64426	Flow cytometry result in text format	471180	09123331.001.txt	Flow cytometry result	990
64427	Flow cytometry result in fcs format	242048	09123331.002.fcs	Flow cytometry result	990
64428	Flow cytometry result in text format	463734	09123331.002.txt	Flow cytometry result	990
64429	Flow cytometry result in fcs format	242048	09123331.003.fcs	Flow cytometry result	990
64430	Flow cytometry result in text format	460202	09123331.003.txt	Flow cytometry result	990
64431	Flow cytometry result in fcs format	242048	09123331.004.fcs	Flow cytometry result	990
64432	Flow cytometry result in text format	471241	09123331.004.txt	Flow cytometry result	990
64433	Flow cytometry result in fcs format	242048	09123331.005.fcs	Flow cytometry result	990
64434	Flow cytometry result in text format	465175	09123331.005.txt	Flow cytometry result	990
64435	Flow cytometry result in fcs format	242048	09123331.006.fcs	Flow cytometry result	990
64436	Flow cytometry result in text format	470104	09123331.006.txt	Flow cytometry result	990
64437	Flow cytometry result in fcs format	242048	09123331.007.fcs	Flow cytometry result	990
64438	Flow cytometry result in text format	468987	09123331.007.txt	Flow cytometry result	990
64439	Flow cytometry result in fcs format	242048	09123331.008.fcs	Flow cytometry result	990
64440	Flow cytometry result in text format	450776	09123331.008.txt	Flow cytometry result	990
64441	Flow cytometry result in fcs format	1256108	09123332.001.fcs	Flow cytometry result	990
64442	Flow cytometry result in text format	2466212	09123332.001.txt	Flow cytometry result	990
64443	Flow cytometry result in fcs format	242048	09123341.001.fcs	Flow cytometry result	990
64444	Flow cytometry result in text format	473385	09123341.001.txt	Flow cytometry result	990
64445	Flow cytometry result in fcs format	242048	09123341.002.fcs	Flow cytometry result	990
64446	Flow cytometry result in text format	468695	09123341.002.txt	Flow cytometry result	990
64447	Flow cytometry result in fcs format	242048	09123341.003.fcs	Flow cytometry result	990
64448	Flow cytometry result in text format	465477	09123341.003.txt	Flow cytometry result	990
64449	Flow cytometry result in fcs format	242048	09123341.004.fcs	Flow cytometry result	990
64450	Flow cytometry result in text format	475077	09123341.004.txt	Flow cytometry result	990
64451	Flow cytometry result in fcs format	242048	09123341.005.fcs	Flow cytometry result	990
64452	Flow cytometry result in text format	468429	09123341.005.txt	Flow cytometry result	990
64453	Flow cytometry result in fcs format	242048	09123341.006.fcs	Flow cytometry result	990
64454	Flow cytometry result in text format	473501	09123341.006.txt	Flow cytometry result	990
64455	Flow cytometry result in fcs format	242048	09123341.007.fcs	Flow cytometry result	990
64456	Flow cytometry result in text format	471030	09123341.007.txt	Flow cytometry result	990
64457	Flow cytometry result in fcs format	242048	09123341.008.fcs	Flow cytometry result	990
64458	Flow cytometry result in text format	455957	09123341.008.txt	Flow cytometry result	990
64459	Flow cytometry result in fcs format	2402048	09123342.001.fcs	Flow cytometry result	990
64460	Flow cytometry result in text format	4734285	09123342.001.txt	Flow cytometry result	990
64461	Flow cytometry result in fcs format	242048	09123351.001.fcs	Flow cytometry result	990
64462	Flow cytometry result in text format	471758	09123351.001.txt	Flow cytometry result	990
64463	Flow cytometry result in fcs format	242048	09123351.002.fcs	Flow cytometry result	990
64464	Flow cytometry result in text format	464046	09123351.002.txt	Flow cytometry result	990
64465	Flow cytometry result in fcs format	242048	09123351.003.fcs	Flow cytometry result	990
64466	Flow cytometry result in text format	461679	09123351.003.txt	Flow cytometry result	990
